Problem Number,Time Taken (s),Best Fitness,Stopped By Condition,Last Generation
211,0.0851358,48872,true,10
212,0.0171299,520540,true,2
213,0.0257201,3580645,true,3
214,0.0764802,67962,true,9
215,0.0341088,356174,true,4
216,0.0259042,11195438,true,3
217,0.0173779,287707,true,2
218,0.0598247,105820,true,7
219,0.0511768,224016,true,6
220,0.0342614,373673,true,4
221,0.0426218,509685,true,5
222,0.0341805,1415500,true,4
223,0.0179951,382291,true,2
224,0.0422491,36627,true,5
225,0.0162137,175041,true,2
226,0.0404696,421476,true,5
227,0.0404828,56457,true,5
228,0.0485628,16870,true,6
229,0.0325353,133963,true,4
230,0.057658,356774,true,7
231,0.0567825,24954,true,7
232,0.0405095,132905,true,5
233,0.0405708,81989,true,5
234,0.04049,820697,true,5
235,0.0406137,323991,true,5
236,0.0325044,208948,true,4
237,0.0406692,722161,true,5
238,0.064604,828502,true,8
239,0.032673,270871,true,4
240,0.0325357,3371196,true,4
241,0.0165201,2061386,true,2
242,0.0163996,846004,true,2
243,0.0324909,1079407,true,4
244,0.0566296,930904,true,7
245,0.0566723,562304,true,7
246,0.0163389,859166,true,2
247,0.0406103,381132,true,5
248,0.0162969,1771486,true,2
249,0.0487313,65153,true,6
250,0.024399,263211268,true,3
251,0.0325185,824614,true,4
252,0.0244853,26876,true,3
253,0.0565766,54585,true,7
254,0.0567558,905326,true,7
255,0.0246712,137878,true,3
256,0.0324217,417868,true,4
257,0.0725933,954366,true,9
258,0.0405119,126862,true,5
259,0.048684,244815,true,6
260,0.0325428,37149,true,4
261,0.0326117,3993,true,4
262,0.0646665,136260,true,8
263,0.064853,44830,true,8
264,0.0324513,32494,true,4
265,0.0407066,125007,true,5
266,0.0163163,676361,true,2
267,0.0324825,29161,true,4
268,0.0244231,4570546,true,3
269,0.0324167,217299,true,4
270,0.0406353,578250,true,5
271,0.0486871,1328643,true,6
272,0.0324268,540693,true,4
273,0.0486231,90850,true,6
274,0.0405742,187358,true,5
275,0.0730199,337183,true,9
